"mode","seed","ncat","p11","p12","p13","p14","th10","th11","th12","th13","info","p21","p22","p23","p24","rmse_p","rmse_ii","rmse_iic","rmse_t","rmse_tt","th20","th21","th22","th23"
"Gn2P",1701,4,1,-1.60341369329408,-1.13879933211689,1.53491733548862,-1.52548142088703,-0.760439988097979,0.127036502290296,1.13794230385492,0,1.1459,-1.9069,-0.958,1.4863,0.00208069271806731,0.0361720629294586,0.0119005427083585,0.0685776222777737,0.0139085611841107,-1.41943247296606,-0.779439923181711,0.112226144784467,1.22151764430479
"Gn2P",1701,4,1,-1.60341369329408,-1.13879933211689,1.53491733548862,-1.52548142088703,-0.760439988097979,0.127036502290296,1.13794230385492,1,1.343,-1.8199,-1.065,1.9171,0.0112565732087936,0.0211458706816399,0.0121402590417132,0.232551088923287,0.0839620092138865,-1.52667044542974,-0.900175602585235,0.16732068054389,1.57972252645951
"Gn2P",1701,4,1,-1.60341369329408,-1.13879933211689,1.53491733548862,-1.52548142088703,-0.760439988097979,0.127036502290296,1.13794230385492,2,1.2557,-1.7973,-1.0796,1.7292,0.00796377709379721,0.0251513046748914,0.0100221952514437,0.152764785111983,0.0560783132394507,-1.453465898083,-0.857484308333342,0.131126924933767,1.41852696328796
"Gn2P",1701,4,1,-2.83194181435478,0.426470450826252,1.06254067784207,-1.55201433961393,-0.476049514735919,0.404316313902674,1.19366632558712,0,1.2239,-2.6125,0.2548,1.2472,0.00193516251164237,0.0300166362105561,0.0104634274911147,0.151041526136428,0.0142152558883738,-1.85114405741461,-0.472560958060177,0.428689464545051,1.15947039163213
"Gn2P",1701,4,1,-2.83194181435478,0.426470450826252,1.06254067784207,-1.55201433961393,-0.476049514735919,0.404316313902674,1.19366632558712,1,1.4067,-2.8619,0.5522,0.943,0.0155138515706138,0.0114454549980057,0.0119387573997307,0.318791386414111,0.0634537021431738,-2.17215195372638,-0.410380140703001,0.492444914601589,1.0943586480228
"Gn2P",1701,4,1,-2.83194181435478,0.426470450826252,1.06254067784207,-1.55201433961393,-0.476049514735919,0.404316313902674,1.19366632558712,2,1.3302,-2.9444,0.4264,1.1318,0.00802617576358349,0.0140272413607661,0.00680856702230452,0.300037466420149,0.048800738866687,-2.14504082131262,-0.450089690943938,0.484756502182495,1.1580997586238
"Gn2P",1701,4,1,0.0487127321259882,0.433460251207046,0.559424674667953,-0.75707968251708,-0.0418298022749878,0.513047553817474,1.12641202892854,0,1.5376,-0.2241,0.3801,0.8936,0.00288654927421386,0.0675831902249353,0.0204641958838521,0.0607384286110943,0.069169144425273,-0.772064307768034,0.0536529276972266,0.440686238885903,1.11303382930767
"Gn2P",1701,4,1,0.0487127321259882,0.433460251207046,0.559424674667953,-0.75707968251708,-0.0418298022749878,0.513047553817474,1.12641202892854,1,1.8054,-0.0319,0.5656,0.7714,0.0110853049969833,0.0449616929430762,0.0261618252770836,0.122894970246048,0.139397013959731,-0.713420069746007,0.199595827660031,0.510175670611656,1.11185350712448
"Gn2P",1701,4,1,0.0487127321259882,0.433460251207046,0.559424674667953,-0.75707968251708,-0.0418298022749878,0.513047553817474,1.12641202892854,2,1.7095,-0.0544,0.3517,0.7883,0.00798878568499198,0.043763559039585,0.015193153564174,0.0923594060814068,0.102721689826044,-0.714549230649682,0.109622835987077,0.419680883931404,1.10078072875391
"Gn2P",1701,4,1,-1.23928623843075,-0.0825501691750181,-0.0521993903231151,-1.25254090825471,-0.566660038769334,0.0471770640626354,0.780856618994859,0,1.453,-1.3064,-0.3094,0.2684,0.00239728557944351,0.0461461069389197,0.0151419839949129,0.0473232437781151,0.0448865898786939,-1.30639711814314,-0.518240493192159,-0.013650277313707,0.777244360647166
